Matrix dimensions: m = n, GFLOPS
40,1.744167e+00,-5.550796e+11
80,1.657451e+00,-6.118016e+13
120,2.510482e+00,-5.510231e+12
160,3.298350e+00,-6.039664e+11
200,3.399424e+00,-7.996296e+13
240,3.547166e+00,8.627766e+12
280,3.513582e+00,1.160183e+13
320,3.514607e+00,-6.331663e+12
360,3.490289e+00,-1.676153e+13
400,3.477877e+00,-1.088753e+14
440,3.486407e+00,-6.488187e+13
480,3.492396e+00,4.291345e+12
520,3.485510e+00,1.151814e+13
560,3.478222e+00,-1.127690e+14
600,3.417611e+00,-5.709569e+13
640,3.481338e+00,-2.327214e+14
680,3.452603e+00,-8.411187e+13
720,3.463510e+00,2.694110e+14
760,3.440643e+00,-1.996700e+14
800,3.410098e+00,8.805543e+14
840,3.289804e+00,-1.653944e+14
880,3.302226e+00,8.679263e+14
920,3.218793e+00,-5.040451e+12
960,3.121461e+00,-2.266519e+14
1000,2.978878e+00,-8.896768e+13
